INFO 2023-09-02 21:49:27,491 Watching for file changes with StatReloader
INFO 2023-09-02 21:56:18,175 "POST /site-config HTTP/1.1" 200 10892
INFO 2023-09-02 21:56:19,577 "POST /site-config HTTP/1.1" 200 10892
INFO 2023-09-02 21:56:20,901 "POST /site-config HTTP/1.1" 200 10892
INFO 2023-09-02 21:56:21,767 "POST /site-config HTTP/1.1" 200 10892
INFO 2023-09-02 21:56:22,427 - Broken pipe from ('127.0.0.1', 4933)
INFO 2023-09-02 21:56:22,653 - Broken pipe from ('127.0.0.1', 4924)
INFO 2023-09-02 21:56:22,817 - Broken pipe from ('127.0.0.1', 4930)
INFO 2023-09-02 21:56:22,908 "POST /site-config HTTP/1.1" 200 10892
INFO 2023-09-02 21:56:23,948 "POST /site-config HTTP/1.1" 200 10892
INFO 2023-09-02 21:56:26,375 "GET /session/list/ HTTP/1.1" 200 11598
INFO 2023-09-02 21:56:28,033 "GET /site-config HTTP/1.1" 200 10862
INFO 2023-09-02 21:56:40,492 "GET /subject/list/ HTTP/1.1" 200 11397
INFO 2023-09-02 21:56:44,267 "GET /class/list/ HTTP/1.1" 200 11410
INFO 2023-09-02 21:56:51,283 "GET /class/1/delete/ HTTP/1.1" 200 9981
INFO 2023-09-02 21:56:52,709 "POST /class/1/delete/ HTTP/1.1" 302 0
INFO 2023-09-02 21:56:52,835 "GET /class/list/ HTTP/1.1" 200 11131
INFO 2023-09-02 21:56:53,943 "GET /class/2/delete/ HTTP/1.1" 200 9981
INFO 2023-09-02 21:56:55,232 "POST /class/2/delete/ HTTP/1.1" 302 0
INFO 2023-09-02 21:56:55,324 "GET /class/list/ HTTP/1.1" 200 10852
INFO 2023-09-02 21:57:03,343 "POST /class/create/ HTTP/1.1" 302 0
INFO 2023-09-02 21:57:03,449 "GET /class/list/ HTTP/1.1" 200 11277
INFO 2023-09-02 21:57:08,844 "POST /class/create/ HTTP/1.1" 302 0
INFO 2023-09-02 21:57:08,965 "GET /class/list/ HTTP/1.1" 200 11559
INFO 2023-09-02 21:57:17,549 "POST /class/create/ HTTP/1.1" 302 0
INFO 2023-09-02 21:57:17,640 "GET /class/list/ HTTP/1.1" 200 11841
INFO 2023-09-02 21:57:22,907 "POST /class/create/ HTTP/1.1" 302 0
INFO 2023-09-02 21:57:23,015 "GET /class/list/ HTTP/1.1" 200 12123
INFO 2023-09-02 21:57:42,825 "GET /finance/list/ HTTP/1.1" 200 9925
INFO 2023-09-02 21:57:44,526 "GET /student/list HTTP/1.1" 200 10222
INFO 2023-09-02 21:57:50,675 "GET /staff/list/ HTTP/1.1" 200 9687
INFO 2023-09-02 21:57:53,148 "GET /staff/create/ HTTP/1.1" 200 12600
INFO 2023-09-02 21:58:29,356 "POST /staff/create/ HTTP/1.1" 302 0
